Time,Lat,Lon,Alt,Roll,Pitch,Yaw
1741113046.9163642,-35.3666483,149.1651646,684.54,0.16231314837932587,0.003867133753374219,-0.022517230361700058
1741113047.0165029,-35.3666483,149.1651646,684.54,0.16231314837932587,0.003867133753374219,-0.022517230361700058
1741113047.116729,-35.3666006,149.1651633,684.58,0.08387355506420135,-0.00966173317283392,-0.005557138007134199
1741113047.2170382,-35.3666006,149.1651633,684.58,0.08387355506420135,-0.00966173317283392,-0.005557138007134199
1741113047.3171613,-35.3665491,149.1651625,684.54,0.013681869953870773,-0.03193230926990509,0.005119516979902983
1741113047.4173744,-35.3665491,149.1651625,684.54,0.013681869953870773,-0.03193230926990509,0.005119516979902983
1741113047.5175128,-35.3665491,149.1651625,684.54,0.013681869953870773,-0.03193230926990509,0.005119516979902983
1741113047.6176589,-35.3665017,149.1651621,684.4,-0.035451650619506836,-0.049690742045640945,0.009227932430803776
1741113047.7177875,-35.3665017,149.1651621,684.4,-0.035451650619506836,-0.049690742045640945,0.009227932430803776
1741113047.8179128,-35.3664502,149.1651617,684.16,-0.07313378900289536,-0.057887449860572815,0.007974330335855484
1741113047.9181013,-35.3664502,149.1651617,684.16,-0.07313378900289536,-0.057887449860572815,0.007974330335855484
1741113048.0183225,-35.3664502,149.1651617,684.16,-0.07313378900289536,-0.057887449860572815,0.007974330335855484
1741113048.1184716,-35.3664026,149.1651611,683.9,-0.09605732560157776,-0.05344457924365997,0.002232116647064686
1741113048.2185907,-35.3664026,149.1651611,683.9,-0.09605732560157776,-0.05344457924365997,0.002232116647064686
1741113048.3188088,-35.3664026,149.1651611,683.9,-0.11099214106798172,-0.03951861709356308,-0.007496153935790062
1741113048.4190133,-35.3664026,149.1651611,683.9,-0.11099214106798172,-0.03951861709356308,-0.007496153935790062
1741113048.5192254,-35.3664026,149.1651611,683.9,-0.11099214106798172,-0.03951861709356308,-0.007496153935790062
1741113048.6193774,-35.3664026,149.1651611,683.9,-0.1173136979341507,-0.024577200412750244,-0.01804618164896965
1741113048.7195692,-35.3664026,149.1651611,683.9,-0.1173136979341507,-0.024577200412750244,-0.01804618164896965
1741113048.8197095,-35.3662619,149.1651566,683.42,-0.11678570508956909,-0.012244443409144878,-0.02936280518770218
1741113048.9198442,-35.3662619,149.1651566,683.42,-0.11678570508956909,-0.012244443409144878,-0.02936280518770218
1741113049.0199678,-35.3662619,149.1651566,683.42,-0.11678570508956909,-0.012244443409144878,-0.02936280518770218
1741113049.120084,-35.3662619,149.1651566,683.42,-0.11053260415792465,-0.0070929089561104774,-0.038790181279182434
1741113049.220208,-35.3662619,149.1651566,683.42,-0.11053260415792465,-0.0070929089561104774,-0.038790181279182434
1741113049.320329,-35.3661606,149.1651504,683.4,-0.09965338557958603,-0.008027736097574234,-0.047491345554590225
1741113049.4204443,-35.3661606,149.1651504,683.4,-0.09965338557958603,-0.008027736097574234,-0.047491345554590225
1741113049.5205717,-35.3661606,149.1651504,683.4,-0.09965338557958603,-0.008027736097574234,-0.047491345554590225
1741113049.6207323,-35.3661606,149.1651504,683.4,-0.08778960257768631,-0.012226891703903675,-0.05413392186164856
1741113049.7208858,-35.3661606,149.1651504,683.4,-0.08778960257768631,-0.012226891703903675,-0.05413392186164856
1741113049.8210976,-35.3660592,149.1651422,683.4,-0.07478286325931549,-0.016866406425833702,-0.06020897999405861
1741113049.9213862,-35.3660592,149.1651422,683.4,-0.07478286325931549,-0.016866406425833702,-0.06020897999405861
1741113050.0216892,-35.3660592,149.1651422,683.4,-0.07478286325931549,-0.016866406425833702,-0.06020897999405861
1741113050.1219811,-35.3660592,149.1651422,683.4,-0.06381687521934509,-0.018802639096975327,-0.06487508118152618
1741113050.2222772,-35.3660592,149.1651422,683.4,-0.06381687521934509,-0.018802639096975327,-0.06487508118152618
1741113050.3224432,-35.3659454,149.1651315,683.31,-0.053707387298345566,-0.017665643244981766,-0.06894294172525406
1741113050.4227214,-35.3659454,149.1651315,683.31,-0.053707387298345566,-0.017665643244981766,-0.06894294172525406
