Time,Lat,Lon,Alt,Heading,Roll,Pitch,Yaw
1742741504.145021,-35.364326,149.1725908,684.19,13,-0.2519574463367462,-0.06081336736679077,0.23184117674827576
1742741504.2451718,-35.364326,149.1725908,684.19,13,-0.2519574463367462,-0.06081336736679077,0.23184117674827576
1742741504.3454175,-35.3642769,149.1726023,684.15,12,-0.22490008175373077,-0.06175011396408081,0.21225298941135406
1742741504.4456887,-35.3642769,149.1726023,684.15,12,-0.22490008175373077,-0.06175011396408081,0.21225298941135406
1742741504.5459743,-35.3642769,149.1726023,684.15,12,-0.22490008175373077,-0.06175011396408081,0.21225298941135406
1742741504.646233,-35.3642237,149.1726137,684.1,10,-0.19676759839057922,-0.06429889053106308,0.19132627546787262
1742741504.7464852,-35.3642237,149.1726137,684.1,10,-0.19676759839057922,-0.06429889053106308,0.19132627546787262
1742741504.8466384,-35.3641745,149.1726233,684.04,10,-0.1691160798072815,-0.06229497492313385,0.17679964005947113
1742741504.9469051,-35.3641745,149.1726233,684.04,10,-0.1691160798072815,-0.06229497492313385,0.17679964005947113
1742741505.0470638,-35.3641745,149.1726233,684.04,10,-0.1691160798072815,-0.06229497492313385,0.17679964005947113
1742741505.1473246,-35.3641207,149.172633,684.0,9,-0.1383451670408249,-0.059917960315942764,0.16284900903701782
1742741505.2475636,-35.3641207,149.172633,684.0,9,-0.1383451670408249,-0.059917960315942764,0.16284900903701782
1742741505.347733,-35.3640707,149.1726414,683.97,8,-0.11497732996940613,-0.06174195185303688,0.15067815780639648
1742741505.4479818,-35.3640707,149.1726414,683.97,8,-0.11497732996940613,-0.06174195185303688,0.15067815780639648
1742741505.548246,-35.3640707,149.1726414,683.97,8,-0.11497732996940613,-0.06174195185303688,0.15067815780639648
1742741505.648388,-35.3640163,149.1726501,683.94,8,-0.08841108530759811,-0.062370989471673965,0.1425771713256836
1742741505.748635,-35.3640163,149.1726501,683.94,8,-0.08841108530759811,-0.062370989471673965,0.1425771713256836
1742741505.8489118,-35.3639661,149.1726577,683.9,7,-0.06682967394590378,-0.062096498906612396,0.13474978506565094
1742741505.949073,-35.3639661,149.1726577,683.9,7,-0.06682967394590378,-0.062096498906612396,0.13474978506565094
1742741506.0492537,-35.3639661,149.1726577,683.9,7,-0.06682967394590378,-0.062096498906612396,0.13474978506565094
1742741506.1495025,-35.3639121,149.1726657,683.89,7,-0.047565773129463196,-0.05832071974873543,0.1293291598558426
1742741506.2497733,-35.3639121,149.1726657,683.89,7,-0.047565773129463196,-0.05832071974873543,0.1293291598558426
1742741506.349916,-35.3638625,149.1726728,683.89,7,-0.031379714608192444,-0.0605970062315464,0.12583069503307343
1742741506.450177,-35.3638625,149.1726728,683.89,7,-0.031379714608192444,-0.0605970062315464,0.12583069503307343
1742741506.5503204,-35.3638625,149.1726728,683.89,7,-0.031379714608192444,-0.0605970062315464,0.12583069503307343
1742741506.650471,-35.3638087,149.1726804,683.87,7,-0.015246021561324596,-0.060589514672756195,0.12223879247903824
1742741506.7506714,-35.3638087,149.1726804,683.87,7,-0.015246021561324596,-0.060589514672756195,0.12223879247903824
1742741506.8508015,-35.3637591,149.1726875,683.86,6,0.00020466287969611585,-0.0581815242767334,0.11913290619850159
1742741506.9509532,-35.3637591,149.1726875,683.86,6,0.00020466287969611585,-0.0581815242767334,0.11913290619850159
